customer_id,name,gender,age,income,occupation,city,account_type,account_tenure,balance,has_loan,has_credit_card,has_investment,last_marketing_response,email,mobile_no
B89-CUST006,Sophia Martinez,male,27,40608.2,Architect,Houston,current,3,8000.45,False,True,False,positive,sophiamartinez.b89c@mail.com,8390085989
B28-1001,A Lopez,female,45,88000.1,Architect,Austin,current,10,27411.5,False,True,True,none,alopez.b281@yahoo.com,9108773923
B69-CUST007456,James Williams,female,44,43375.2,Consultant,Orlando,premium,10,406212.83,True,True,True,negative,jameswilliams.b69c@gmail.com,9494778217
B79-034789,Liam Johnson,male,58,71342.1,Sales Manager,Boston,current,16,254751.28,True,True,True,positive,liamjohnson.b790@mail.com,8702311326
B72-016,Grace Lee,male,45,95000.0,Business Analyst,Phoenix,premium,12,50068.0,True,True,True,negative,gracelee.b720@yahoo.com,7850023699
B37-04667,Grace Wilson,female,40,65171.7,Architect,Seattle,premium,9,120081.83,False,True,True,positive,gracewilson.b370@mail.com,8791206446
B34-16687,Henry Johnson,female,41,69233.6,Legal Advisor,Miami,current,9,18000.05,False,False,False,none,henryjohnson.b341@outlook.com,8258354598
B76-CUST015,Michaeliechen,female,37,67000.1,Business Analyst,San Jose,current,9,9355.18,False,True,False,none,michaeliechen.b76c@mail.com,7345660346
male,William Martinez,female,27,49139.3,Marketing Manager,Los Angeles,salary,1,3188.24,False,True,False,none,williammartinez.male@gmail.com,8646670320
B34-CUST006,Sophia Scott,male,29,48000.0,Retired Executive,Charlotte,salary,5,6784.96,False,True,False,positive,sophiascott.b34c@gmail.com,9177128453
B35-10014,Emma Walker,other,39,75212.1,Business Analyst,Indianapolis,current,9,14000.14,False,True,True,positive,emmawalker.b351@outlook.com,7260578994
B71-017,James Wilson,female,29,67000.5,Software Engineer,San Francisco,savings,5,15000.35,False,True,True,positive,jameswilson.b710@mail.com,7832078112
CUST000001,Ralei Martin,female,29,38000.1,Graphic Designer,San Jose,salary,3,16779.85,False,True,True,positive,raleimartin.b980@yahoo.com,7357857052
B65-020,Emma Davis,male,38,54372.6,Software Engineer,Austin,current,8,15000.3,True,True,False,none,emmadavis.b650@yahoo.com,7140784099
B58-CUST0078,David Ghes,female,42,68284.6,Consultant,Seattle,savings,11,23274.3,False,True,False,none,davidghes.b58c@outlook.com,9714285143
